Linux 6.18.12+kali-amd64 (kali) 	06/04/2026 	_x86_64_	(4 CPU)

06:24:29 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:27:47 AM     0    180443    0.00    6.00    0.00    0.00    6.00     3  dns-firewall
06:27:49 AM     0    180443    0.00    5.50    0.00    0.50    5.50     2  dns-firewall
06:27:51 AM     0    180443    0.00    5.00    0.00    0.00    5.00     3  dns-firewall
06:27:53 AM     0    180443    0.00    4.98    0.00    0.00    4.98     2  dns-firewall
06:27:55 AM     0    180443    0.50    4.50    0.00    0.00    5.00     2  dns-firewall
06:27:57 AM     0    180443    0.00    4.50    0.00    0.00    4.50     2  dns-firewall
06:27:59 AM     0    180443    0.50    4.50    0.00    0.00    5.00     2  dns-firewall
06:28:01 AM     0    180443    0.50    4.50    0.00    0.50    5.00     2  dns-firewall
06:28:03 AM     0    180443    0.00    4.50    0.00    0.00    4.50     3  dns-firewall
06:28:05 AM     0    180443    0.50    4.50    0.00    0.00    5.00     2  dns-firewall
06:28:07 AM     0    180443    0.00    5.00    0.00    0.00    5.00     2  dns-firewall
06:28:09 AM     0    180443    0.50    4.50    0.00    0.00    5.00     3  dns-firewall
06:28:11 AM     0    180443    0.00    5.00    0.00    0.00    5.00     0  dns-firewall
06:28:13 AM     0    180443    0.50    5.50    0.00    0.50    6.00     1  dns-firewall
06:28:15 AM     0    180443    0.50    5.50    0.00    0.00    6.00     1  dns-firewall
06:28:17 AM     0    180443    0.50    6.00    0.00    0.00    6.50     0  dns-firewall
06:28:19 AM     0    180443    0.00    5.50    0.00    0.50    5.50     1  dns-firewall
06:28:21 AM     0    180443    0.50    6.00    0.00    0.00    6.50     1  dns-firewall
06:28:23 AM     0    180443    0.50    5.50    0.00    0.00    6.00     0  dns-firewall
06:28:25 AM     0    180443    0.00    6.00    0.00    0.00    6.00     0  dns-firewall
06:28:27 AM     0    180443    0.50    5.50    0.00    0.00    6.00     1  dns-firewall
06:28:29 AM     0    180443    0.50    5.50    0.00    0.50    6.00     0  dns-firewall
06:28:31 AM     0    180443    0.50    6.00    0.00    0.00    6.50     1  dns-firewall
06:28:33 AM     0    180443    0.00    5.50    0.00    0.00    5.50     1  dns-firewall
06:28:35 AM     0    180443    0.50    5.50    0.00    0.50    6.00     0  dns-firewall
06:28:37 AM     0    180443    0.50    6.00    0.00    0.00    6.50     1  dns-firewall
06:28:39 AM     0    180443    0.00    5.47    0.00    0.00    5.47     0  dns-firewall
06:28:41 AM     0    180443    0.00    6.00    0.00    0.00    6.00     0  dns-firewall
06:28:43 AM     0    180443    0.00    5.50    0.00    0.00    5.50     1  dns-firewall
06:28:45 AM     0    180443    0.00    6.00    0.00    0.00    6.00     1  dns-firewall
06:28:47 AM     0    180443    0.00    6.00    0.00    0.50    6.00     0  dns-firewall
06:28:49 AM     0    180443    0.00    6.00    0.00    0.00    6.00     0  dns-firewall
06:28:51 AM     0    180443    0.00    6.00    0.00    0.50    6.00     1  dns-firewall
06:28:53 AM     0    180443    0.50    5.00    0.00    0.00    5.50     1  dns-firewall
06:28:55 AM     0    180443    0.00    5.00    0.00    0.00    5.00     0  dns-firewall
06:28:57 AM     0    180443    0.50    4.50    0.00    0.50    5.00     0  dns-firewall
06:28:59 AM     0    180443    0.00    4.50    0.00    0.00    4.50     1  dns-firewall
06:29:01 AM     0    180443    0.50    4.00    0.00    0.00    4.50     1  dns-firewall
06:29:03 AM     0    180443    0.00    5.00    0.00    0.50    5.00     1  dns-firewall
06:29:05 AM     0    180443    0.50    5.00    0.00    0.00    5.50     1  dns-firewall
06:29:07 AM     0    180443    0.50    5.50    0.00    0.00    6.00     1  dns-firewall
06:29:09 AM     0    180443    0.00    5.50    0.00    0.50    5.50     0  dns-firewall
06:29:11 AM     0    180443    0.50    5.50    0.00    0.00    6.00     3  dns-firewall
06:29:13 AM     0    180443    0.50    5.50    0.00    0.00    6.00     3  dns-firewall
06:29:15 AM     0    180443    0.00    5.00    0.00    0.00    5.00     1  dns-firewall
06:29:17 AM     0    180443    0.50    5.50    0.00    0.50    6.00     0  dns-firewall
06:29:19 AM     0    180443    0.00    5.50    0.00    0.00    5.50     0  dns-firewall
06:29:21 AM     0    180443    0.50    5.50    0.00    0.00    6.00     1  dns-firewall
